time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-29T19:59:11.140Z,36.5863342,-121.0889969,10.51,1.75,md,12,131,0.04055,0.12,nc,nc73773210,2022-08-29T22:51:10.263Z,"8km NE of Pinnacles, CA",earthquake,0.62,0.95,0.23,13,automatic,nc,nc
2022-08-29T19:51:06.940Z,34.0448333,-117.0963333,10.73,1.01,ml,21,70,0.0615,0.08,ci,ci40333960,2022-08-29T21:08:11.077Z,"4km SE of Mentone, CA",earthquake,0.23,0.38,0.087,16,reviewed,ci,ci
2022-08-29T19:44:40.715Z,61.4915,-151.3339,3,1.1,ml,,,,0.76,ak,ak022b2w3e5j,2022-08-29T19:46:41.735Z,"41 km NNW of Beluga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-08-29T19:43:42.539Z,58.8223,-154.0178,21.1,1,ml,,,,0.27,ak,ak022b2w36kt,2022-08-29T19:45:44.294Z,"81 km SSE of Kokhanok, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-08-29T19:27:57.703Z,62.555,-150.7703,79.8,1.1,ml,,,,0.52,ak,ak022b2vzsai,2022-08-29T19:29:40.280Z,"6 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-08-29T19:27:53.660Z,48.5895,-117.966,-0.88,1.37,ml,6,199,0.07091,0.16,uw,uw61876101,2022-08-29T21:58:29.790Z,"6 km NW of Colville, Washington",explosion,1.37,31.61,0.11364640917486701,3,reviewed,uw,uw
2022-08-29T19:25:56.538Z,31.71647397,-104.1709644,7.879711914,2,ml,16,59,0.04445009558,0.3,tx,tx2022qxzf,2022-08-30T00:37:24.515Z,"54 km W of Mentone, Texas",earthquake,0.9949542179,1.104060776,0.2,12,reviewed,tx,tx
2022-08-29T19:06:59.178Z,31.68210614,-104.3984694,6.697143555000001,2,ml,16,56,0.03862728174,0.2,tx,tx2022qxyo,2022-08-30T06:48:18.577Z,"54 km S of Whites City, New Mexico",earthquake,0.8056079945,0.9820543936,0.1,12,reviewed,tx,tx
2022-08-29T18:58:47.610Z,34.9891667,-118.1911667,-0.82,1.38,ml,20,56,0.1143,0.19,ci,ci40333944,2022-08-29T21:02:03.709Z,"7km SSW of Mojave, CA",quarry blast,0.37,31.61,0.13,30,reviewed,ci,ci
2022-08-29T18:41:02.850Z,18.3821666666667,-66.1896666666667,114.38,3.16,md,17,167,,0.14,pr,pr71368663,2022-08-29T19:49:27.800Z,"2 km ESE of Mucarabones, Puerto Rico",earthquake,1.16,0.57,0.081749582913865,7,reviewed,pr,pr
2022-08-29T18:40:48.800Z,19.3961658477783,-155.445831298828,7.55999994277954,1.89,ml,40,62,,0.159999996,hv,hv73125262,2022-08-29T18:46:19.410Z,"21 km N of Pāhala, Hawaii",earthquake,0.34,0.620000005,3.5,12,automatic,hv,hv
2022-08-29T18:26:17.200Z,33.3236667,-116.346,11.16,1.27,ml,54,33,0.01796,0.18,ci,ci40333920,2022-08-29T18:58:56.780Z,"8km NNE of Borrego Springs, CA",earthquake,0.19,0.33,0.138,21,reviewed,ci,ci
2022-08-29T18:10:50.683Z,-32.7298,-179.055,31.796,5.8,mww,75,54,5.283,1.3,us,us7000i3gq,2022-08-29T20:13:52.583Z,"south of the Kermadec Islands",earthquake,10.69,4.741,0.069,20,reviewed,us,us
2022-08-29T17:43:16.930Z,67.0661,-154.0393,3.8,1.5,ml,,,,0.84,ak,ak022b2uw9e3,2022-08-29T17:45:34.749Z,"81 km NW of Alatna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-08-29T17:31:20.090Z,37.7971649,-122.1906662,9.29,1.92,md,35,62,0.01944,0.08,nc,nc73773185,2022-08-29T23:47:31.026Z,"3km E of Oakland, CA",earthquake,0.19,0.51,0.23,26,automatic,nc,nc
2022-08-29T17:24:50.520Z,39.2408333,-123.1636667,-0.39,1.36,md,17,102,0.06903,0.06,nc,nc73773180,2022-08-29T23:14:10.398Z,"4km SE of Redwood Valley, CA",earthquake,0.18,0.74,0.145,15,reviewed,nc,nc
2022-08-29T17:21:30.161Z,55.9933,-158.0401,54.1,3.2,ml,,,,0.52,ak,ak022b2urknx,2022-08-29T17:25:38.495Z,"40 km SE of Chignik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-08-29T17:20:57.770Z,42.314,143.1514,64.184,4.3,mb,50,123,0.299,0.59,us,us7000i3g5,2022-08-29T21:18:41.040Z,"Hokkaido, Japan region",earthquake,8.57,4.247,0.097,30,reviewed,us,us
2022-08-29T17:05:32.751Z,31.68594739,-104.4084644,8.008251953,2.3,ml,15,74,0.08058270724,0.2,tx,tx2022qxuo,2022-08-29T18:07:32.836Z,"54 km S of Whites City, New Mexico",earthquake,1.10805859,1.43560617,0,6,reviewed,tx,tx
2022-08-29T17:01:10.334Z,31.67677724,-104.4051508,7.802587891,2.4,ml,19,55,0.08192573502,0.2,tx,tx2022qxul,2022-08-29T18:40:10.025Z,"55 km S of Whites City, New Mexico",earthquake,1.146541141,1.220366042,0,7,reviewed,tx,tx
2022-08-29T16:57:13.280Z,35.643,-118.3206667,7.87,1.21,ml,27,51,0.05788,0.13,ci,ci40333880,2022-08-29T18:38:04.464Z,"14km ENE of Lake Isabella, CA",earthquake,0.25,0.43,0.112,11,reviewed,ci,ci
2022-08-29T16:43:08.313Z,-17.8873,-178.526,568.748,4.2,mb,81,60,3.262,0.54,us,us7000i3fl,2022-08-29T18:30:02.040Z,"229 km E of Levuka, Fiji",earthquake,12.43,8.681,0.052,107,reviewed,us,us
